iter	RMSE
0	0.8825904122
1	0.8509758603
2	0.8205009072
3	0.7938588624
4	0.765503524
5	0.7419814294
6	0.7167195285
7	0.6923210895
8	0.6704520555
9	0.6491347437
10	0.6295293671
11	0.6094023987
12	0.5893485521
13	0.5726033398
14	0.555967034
15	0.5395210955
16	0.5245983829
17	0.5106013317
18	0.4958036745
19	0.48292545
20	0.4693315338
21	0.4573937264
22	0.4463315651
23	0.4357028512
24	0.4248416905
25	0.4146689567
26	0.4051659737
27	0.3958820155
28	0.3867651754
29	0.3793010299
30	0.3713049747
31	0.3646711047
32	0.3577964561
33	0.3510981251
34	0.3448043847
35	0.3386809374
36	0.3332045644
37	0.3275576088
38	0.3222738589
39	0.3171057937
40	0.3125231219
41	0.3077467456
42	0.3031980883
43	0.2993162744
44	0.2952240728
45	0.291482062
46	0.2877340368
47	0.2837790927
48	0.2807061089
49	0.2774546208
50	0.2742880076
51	0.2714901228
52	0.2688700545
53	0.2666352632
54	0.2640901305
55	0.2616470667
56	0.2594142434
57	0.2574811272
58	0.2555505865
59	0.2536763947
60	0.2518130118
61	0.2498603507
62	0.248229695
63	0.2469173809
64	0.2452340481
65	0.243159279
66	0.2414293043
67	0.2400187451
68	0.2387480699
69	0.2374597173
70	0.2362070834
71	0.2349162249
72	0.233484523
73	0.2322566361
74	0.2309541945
75	0.2299108196
76	0.2286737839
77	0.2278066754
78	0.2268924403
79	0.225774793
80	0.2247702563
81	0.2236505695
82	0.2228116577
83	0.2219563316
84	0.2210975408
85	0.220301076
86	0.2196279965
87	0.2186767592
88	0.2178222235
89	0.217138156
90	0.2165651173
91	0.215732196
92	0.214911072
93	0.2143118269
94	0.2138004204
95	0.2129871811
96	0.2123226189
97	0.2116720301
98	0.2111841821
99	0.2105180778
100	0.2100362216
101	0.2095039823
102	0.208942263
103	0.2084441313
104	0.2077853076
105	0.207244976
106	0.2067201206
107	0.206216741
108	0.2057150098
109	0.2052338426
110	0.2048884791
111	0.204550737
112	0.2041250058
113	0.2038151847
114	0.2033305591
115	0.2029233176
116	0.2026965336
117	0.2022973194
118	0.2019073154
119	0.2015822014
120	0.201265979
121	0.2007945582
122	0.2004557984
123	0.2001451776
124	0.1998792934
125	0.1993947734
126	0.1990626977
127	0.1987467688
128	0.1983927598
129	0.1980211133
130	0.1976700496
131	0.1972528179
132	0.196964411
133	0.196712796
134	0.1964322674
135	0.1961326157
136	0.1958554008
137	0.1955032508
138	0.195182437
139	0.1949644958
140	0.1946992692
141	0.1943656322
142	0.1940283966
143	0.1938282736
144	0.1935087803
145	0.1932584758
146	0.1930987294
147	0.1928195179
148	0.192622638
149	0.1923765348
150	0.1921510728
151	0.1919516607
152	0.191649653
153	0.1914923975
154	0.1912421959
155	0.1909441801
156	0.1907137014
157	0.1905420358
158	0.1903548817
159	0.19013959
160	0.1899263955
161	0.1896179029
162	0.1893883742
163	0.1891891806
164	0.1889866487
165	0.1887086931
166	0.1884100956
167	0.1882637968
168	0.1880896723
169	0.1878096416
170	0.187522622
171	0.1871879724
172	0.1868891276
173	0.1866385708
