iter	Passed	Remaining
0	156	156252
1	158	79117
2	160	53291
3	162	40422
4	164	32701
5	167	27721
6	169	24006
7	171	21230
8	173	19067
9	175	17366
10	177	15953
11	179	14755
12	181	13816
13	184	12970
14	186	12219
15	187	11549
16	189	10974
17	191	10467
18	193	9999
19	196	9650
20	199	9282
21	201	8949
22	203	8632
23	211	8593
24	213	8320
25	215	8068
26	217	7837
27	219	7619
28	221	7411
29	223	7223
30	226	7077
31	228	6907
32	230	6746
33	232	6604
34	234	6466
35	236	6330
36	239	6222
37	241	6117
38	243	5995
39	245	5882
40	247	5779
41	249	5681
42	251	5588
43	253	5507
44	255	5425
45	257	5346
46	259	5265
47	262	5208
48	264	5129
49	265	5053
50	267	4979
51	269	4912
52	271	4850
53	273	4788
54	275	4732
55	277	4683
56	279	4625
57	282	4584
58	285	4561
59	288	4512
60	289	4463
61	291	4414
62	293	4368
63	295	4324
64	297	4280
65	300	4256
66	302	4217
67	304	4178
68	306	4139
69	308	4100
70	310	4061
71	312	4023
72	314	3988
73	316	3959
74	318	3926
75	320	3893
76	322	3860
77	323	3829
78	325	3799
79	327	3769
80	330	3748
81	333	3733
82	336	3712
83	337	3685
84	339	3659
85	341	3633
86	343	3607
87	345	3584
88	348	3562
89	349	3536
90	351	3514
91	353	3491
92	355	3467
93	357	3442
94	360	3430
95	363	3418
96	365	3404
97	367	3382
98	369	3360
99	371	3339
100	372	3320
101	375	3302
102	377	3285
103	379	3267
104	381	3251
105	383	3235
106	385	3218
107	388	3206
108	391	3197
109	394	3190
110	396	3176
111	398	3161
112	400	3145
113	402	3128
114	404	3113
115	406	3097
116	408	3081
117	410	3065
118	412	3051
119	413	3035
120	415	3019
121	417	3006
122	420	3000
123	422	2987
124	424	2973
125	426	2960
126	428	2946
127	430	2933
128	433	2926
129	436	2922
130	438	2908
131	440	2898
132	442	2886
133	444	2871
134	446	2857
135	449	2853
136	451	2842
137	453	2830
138	454	2818
139	457	2808
140	459	2796
141	461	2785
