iter	RMSE
0	0.880551002
1	0.8500931061
2	0.8205938996
3	0.7918496296
4	0.7655159614
5	0.7412420566
6	0.7164332056
7	0.6924576549
8	0.6705653425
9	0.6491670588
10	0.6286412581
11	0.6086225225
12	0.5916914777
13	0.5738425132
14	0.5566591274
15	0.5396681803
16	0.5247248663
17	0.5110170401
18	0.4971072943
19	0.4837188583
20	0.4715647476
21	0.4590439882
22	0.4491218379
23	0.438525863
24	0.4282953058
25	0.4191153602
26	0.4102756563
27	0.4011874852
28	0.3930288965
29	0.3860122845
30	0.3788017676
31	0.3730526365
32	0.3666667446
33	0.3603490039
34	0.3543621826
35	0.3484983095
36	0.3436758064
37	0.3390923997
38	0.3345581263
39	0.3300225248
40	0.3254566864
41	0.3213939873
42	0.3176831998
43	0.3139650082
44	0.3111585215
45	0.3078415628
46	0.3042462804
47	0.3007772879
48	0.2980919911
49	0.2955722838
50	0.2936000861
51	0.2911616302
52	0.2889311875
53	0.2868769735
54	0.2853120484
55	0.2834006452
56	0.2813596262
57	0.2797127763
58	0.2784662508
59	0.2769278946
60	0.2754912733
61	0.2742251391
62	0.2729631328
63	0.2717863876
64	0.2705939078
65	0.2696382962
66	0.2687916866
67	0.267694631
68	0.2668201274
69	0.2656789658
70	0.2647162718
71	0.26388024
72	0.2632301732
73	0.2625933085
74	0.2619661552
75	0.2614546736
76	0.2608613279
77	0.2603107245
78	0.259691149
79	0.2589003273
80	0.2582225121
81	0.2577016949
82	0.2570667096
83	0.2564977318
84	0.2559495327
85	0.2553155361
86	0.2549021189
87	0.2546043068
88	0.2542621294
89	0.2538818333
90	0.2534633932
91	0.2531060969
92	0.2527667603
93	0.252424759
94	0.252082172
95	0.2518712023
96	0.2514509688
97	0.2511127552
98	0.250758302
99	0.2505674724
100	0.2502810244
101	0.250028893
102	0.2497581639
103	0.2495357196
104	0.2492741602
105	0.2490749051
106	0.2486878612
107	0.2485033757
108	0.2482038386
109	0.2479570776
110	0.247774528
111	0.2474950111
112	0.2471846731
113	0.2469865875
114	0.2467926802
115	0.2465899815
116	0.246430261
117	0.2461966109
118	0.2459866849
119	0.2458251559
120	0.2455915264
121	0.245169104
122	0.2449916621
123	0.2447462564
124	0.2445747963
125	0.2443857749
126	0.2440822694
127	0.2439123488
128	0.2435426913
129	0.2432618381
130	0.243069447
131	0.2429274344
132	0.2425927557
133	0.242466855
134	0.2422646787
135	0.2420834215
136	0.2419672255
137	0.2416918188
138	0.2415703109
139	0.2414691389
140	0.2412963909
141	0.2411693598
142	0.2410258174
143	0.2408981955
144	0.240712301
145	0.2405510147
146	0.2404049391
147	0.2402796924
148	0.2400500885
149	0.2399583166
150	0.2398313073
151	0.2396584232
152	0.2394872855
153	0.2394144923
154	0.2392860423
155	0.2390088236
156	0.2388268547
157	0.2387662767
158	0.2386167596
159	0.2384125417
160	0.238341105
161	0.2380648335
162	0.237878598
163	0.2377597069
164	0.2376330706
165	0.2375233797
166	0.2374361561
167	0.2373531569
168	0.2371150671
169	0.2369942393
170	0.2368660681
171	0.2367415038
172	0.2365641447
173	0.2364315747
174	0.2362800958
175	0.2361883345
176	0.2360092934
177	0.2358983671
178	0.2356717125
179	0.2355129782
180	0.2352683659
181	0.2351571237
182	0.2350021598
183	0.2348691668
184	0.2346842636
185	0.2345499527
186	0.2343835316
187	0.2342425518
188	0.234115178
189	0.2339743212
190	0.2337963609
191	0.2337064918
192	0.2335848463
193	0.2334525582
194	0.2332509308
195	0.2330957159
196	0.232837412
197	0.2327669548
198	0.2325893294
199	0.2325049589
200	0.2323818086
201	0.2322590532
202	0.2320885932
203	0.2319166261
204	0.2318287589
205	0.2317219684
206	0.2315543439
207	0.2314885256
208	0.2313502967
209	0.2312375026
210	0.2311397536
211	0.2308781725
212	0.2307204596
213	0.2306389678
214	0.23050694
215	0.2304587623
216	0.2302338749
217	0.2301608077
218	0.2300261194
219	0.2299491859
220	0.2298870365
221	0.2297667995
222	0.2297205343
223	0.2296542902
224	0.2295313518
225	0.2294596793
226	0.2293589891
227	0.2292330942
228	0.2291365893
229	0.2290722296
230	0.2289786751
231	0.2287928303
232	0.2286749324
233	0.2285369411
234	0.2283996184
235	0.2282782625
236	0.2281704239
237	0.2280662781
238	0.2279635001
239	0.2277798164
240	0.2276908963
241	0.227592336
242	0.2274848023
243	0.2273530123
244	0.2272762834
245	0.2271306279
246	0.2270919462
247	0.2269430435
248	0.2268564705
249	0.2268060862
250	0.2267099308
251	0.2266368036
252	0.2265441831
253	0.2264745763
254	0.2263813754
255	0.2262382264
256	0.2261521191
257	0.225967181
258	0.2258007858
259	0.2256394636
260	0.2254691348
261	0.2254075672
262	0.2253268072
263	0.225227884
264	0.2251913262
265	0.2251142547
266	0.2249631166
267	0.2247170692
268	0.2245929164
269	0.2245136831
270	0.2244338741
271	0.2243375867
272	0.2242560599
273	0.2241829765
274	0.224132656
275	0.2240461918
276	0.2239822787
277	0.2238255177
278	0.2236551331
279	0.2235656397
280	0.2235018336
281	0.2233431439
282	0.2233000385
283	0.2232024603
284	0.2231233824
285	0.2229688447
286	0.2229245185
287	0.2227691584
288	0.2226764723
289	0.2225824346
290	0.2225435909
291	0.22248693
292	0.2222860301
293	0.222249347
294	0.2221766149
295	0.2220324849
296	0.221945959
297	0.2218262824
298	0.2217697226
299	0.2216979569
300	0.221529318
301	0.2214883039
302	0.2214127865
303	0.2213314585
304	0.2211886787
305	0.2210348654
306	0.2208865288
307	0.220710002
308	0.2206263133
309	0.2205104925
310	0.2203561243
311	0.2202077376
312	0.2201354469
313	0.2200972581
314	0.219971721
315	0.2198659518
316	0.219680076
317	0.219513609
318	0.2194473652
319	0.2193809881
320	0.2192870085
321	0.2191601678
322	0.2190693761
323	0.2190120824
324	0.2189710182
325	0.2188766931
326	0.2187923962
327	0.2187521478
328	0.2186627773
329	0.2185809506
330	0.218512391
331	0.2184893112
332	0.2183618424
333	0.2182383762
334	0.2181364422
335	0.2180404331
336	0.217983366
337	0.2178706362
338	0.2177989197
339	0.2177098297
340	0.2175827403
341	0.2175232602
342	0.217491444
343	0.2172744411
344	0.217144905
345	0.2170602346
346	0.2169881434
347	0.2169317641
348	0.2168489117
349	0.2167707392
350	0.2166703962
351	0.2165642335
352	0.2164075535
353	0.2163521042
354	0.2162515779
355	0.2161273719
356	0.2160939308
357	0.2159776481
358	0.2157599353
359	0.2157115054
360	0.2156784729
361	0.215614844
362	0.215521129
363	0.2154666072
364	0.2154095042
365	0.2153825589
366	0.2153234664
367	0.2151766857
368	0.2151205065
369	0.2149320805
370	0.2147609662
371	0.2147310059
372	0.2146780567
373	0.2146244422
374	0.2145690281
375	0.2145012457
