iter	Passed	Remaining
0	209	209030
1	210	105173
2	212	70624
3	213	53232
4	215	42904
5	217	35952
6	217	30901
7	219	27159
8	220	24237
9	221	21903
10	222	19995
11	223	18408
12	224	17037
13	225	15908
14	227	14936
15	228	14079
16	230	13312
17	230	12597
18	232	11980
19	233	11424
20	234	10909
21	235	10450
22	235	10011
23	236	9627
24	237	9275
25	238	8938
26	239	8644
27	242	8410
28	243	8159
29	245	7922
30	246	7700
31	247	7485
32	248	7282
33	249	7090
34	250	6910
35	251	6739
36	252	6579
37	253	6427
38	256	6316
39	258	6204
40	260	6081
41	261	5963
42	262	5849
43	263	5735
44	265	5625
45	266	5518
46	267	5417
47	268	5335
48	271	5266
49	272	5179
50	273	5092
51	275	5015
52	276	4937
53	277	4860
54	278	4784
55	279	4712
56	281	4648
57	283	4603
58	286	4563
59	287	4508
60	289	4451
61	290	4395
62	291	4339
63	293	4286
64	294	4232
65	295	4182
66	296	4132
67	298	4087
68	300	4053
69	301	4011
70	303	3966
71	304	3925
72	305	3885
73	307	3846
74	308	3810
75	311	3781
76	312	3747
77	316	3738
78	317	3701
79	318	3666
80	320	3632
81	321	3596
82	322	3564
83	323	3531
84	325	3498
85	326	3466
86	327	3441
87	330	3421
88	331	3396
89	333	3367
90	334	3337
91	335	3308
92	336	3280
93	338	3258
94	339	3234
95	340	3208
96	341	3183
97	344	3168
98	345	3147
99	347	3125
100	348	3102
101	349	3078
102	351	3061
103	353	3042
104	354	3020
105	355	2998
106	356	2977
107	358	2962
108	360	2947
109	361	2928
110	363	2909
111	365	2893
112	366	2877
113	367	2857
114	368	2838
115	369	2819
116	370	2799
117	372	2785
118	374	2771
119	375	2753
120	376	2735
121	378	2722
122	380	2710
123	381	2694
124	382	2676
125	383	2659
126	384	2643
127	385	2626
128	387	2613
129	388	2602
130	390	2587
131	392	2582
132	394	2569
133	396	2559
134	397	2545
135	398	2531
136	400	2521
137	402	2516
138	406	2519
139	408	2508
140	410	2498
141	411	2488
142	413	2477
143	414	2465
144	416	2457
145	435	2546
146	437	2535
147	438	2523
148	439	2511
149	441	2499
150	442	2486
151	443	2474
152	444	2462
153	446	2450
154	448	2447
155	451	2441
156	452	2430
157	453	2418
158	454	2405
159	455	2393
160	457	2381
161	458	2370
162	459	2358
163	460	2346
164	461	2336
165	464	2332
166	465	2323
167	467	2314
168	468	2304
169	469	2294
170	471	2283
171	472	2273
172	473	2263
173	474	2253
174	475	2243
175	478	2240
176	480	2232
177	481	2223
178	482	2213
179	483	2203
180	484	2194
181	486	2184
182	487	2175
183	488	2166
184	490	2158
185	494	2162
186	495	2155
187	497	2146
188	498	2138
189	499	2130
190	500	2121
191	501	2112
192	502	2103
193	504	2095
194	505	2088
195	508	2084
196	509	2078
197	511	2070
198	512	2062
199	513	2055
200	514	2047
201	516	2039
202	517	2032
203	519	2026
204	520	2019
205	522	2015
206	524	2009
207	525	2001
208	526	1994
209	528	1987
210	529	1980
211	530	1972
212	532	1968
213	534	1963
214	535	1956
215	538	1952
216	540	1948
217	541	1942
218	542	1935
219	543	1928
220	545	1921
221	547	1918
222	549	1913
223	550	1907
224	553	1904
225	555	1900
226	556	1895
227	557	1888
228	558	1881
229	560	1876
230	562	1872
231	563	1866
232	565	1860
233	566	1854
234	568	1851
235	570	1846
236	571	1840
237	572	1834
238	574	1828
239	576	1825
240	578	1820
241	579	1814
242	580	1808
243	582	1805
244	584	1800
245	585	1794
246	586	1789
247	588	1784
248	591	1782
249	592	1778
250	594	1773
251	597	1773
252	599	1768
253	600	1763
254	602	1759
255	604	1756
256	605	1751
257	607	1746
258	608	1740
259	609	1735
260	612	1733
261	613	1729
262	615	1724
263	617	1721
264	619	1717
265	620	1712
266	621	1707
267	623	1703
268	625	1698
269	628	1699
270	630	1695
271	631	1691
272	633	1687
273	634	1682
274	636	1677
275	637	1671
276	638	1666
277	640	1664
278	644	1666
279	646	1663
280	648	1658
281	649	1654
282	650	1649
283	652	1644
284	653	1640
285	655	1637
286	658	1636
287	660	1632
288	662	1629
289	663	1624
290	665	1621
291	666	1616
292	668	1612
293	669	1607
294	674	1611
295	676	1608
296	678	1604
297	679	1600
298	680	1596
299	682	1592
300	683	1587
301	689	1592
302	690	1588
303	692	1584
304	693	1580
305	694	1576
306	696	1572
307	698	1568
308	700	1566
309	703	1565
310	705	1562
311	706	1558
312	708	1554
313	709	1550
314	711	1546
315	712	1542
316	719	1549
317	721	1546
318	722	1542
319	724	1538
320	725	1534
321	726	1530
322	728	1525
323	729	1522
324	732	1520
325	733	1516
326	735	1512
327	736	1508
328	737	1505
329	739	1501
330	741	1498
331	743	1495
332	746	1494
333	748	1491
334	749	1488
335	751	1484
336	752	1480
337	754	1476
338	756	1474
339	757	1470
340	760	1468
341	762	1466
342	763	1462
343	764	1458
344	766	1454
345	769	1454
346	770	1450
347	773	1449
348	775	1446
349	777	1444
350	780	1442
351	782	1440
352	784	1437
353	785	1433
354	788	1432
355	790	1430
356	792	1426
